Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,AOV,Purchase_Frequency,Lifespan_Score,CLV
169,3,388.5,2,3,2,232,At Risk,129.5,3,196,208.61917808219178
57,1,216.17,3,1,1,311,Need Attention,216.17,1,308,182.41194520547944
326,1,201.16,1,1,1,111,Lost,201.16,1,39,21.49380821917808
1,5,1245.9,5,4,4,544,Champions,249.18,5,364,1242.4865753424658
18,8,2209.36,4,5,5,455,Champions,276.17,8,347,2100.4052602739725
248,1,305.78,1,1,2,112,Lost,305.78,1,117,98.01715068493151
58,4,501.56,3,4,3,343,Loyal Customers,125.39,4,307,421.8600547945205
74,1,145.67,2,1,1,211,Lost,145.67,1,291,116.13690410958903
31,3,1005.09,4,3,4,434,Need Attention,335.03000000000003,3,334,919.7261917808221
7,2,3192.54,5,2,5,525,Potential Loyalists,1596.27,2,358,3131.313205479452
123,4,3083.65,2,4,5,245,Loyal Customers,770.9125,4,242,2044.5021917808222
2,8,2770.94,5,5,5,555,Champions,346.3675,8,363,2755.756767123288
23,13,6403.25,4,5,5,455,Champions,492.5576923076923,13,342,5999.757534246575
120,3,389.6,2,3,2,232,At Risk,129.86666666666667,3,245,261.51232876712334
358,1,540.45,1,1,3,113,Lost,540.45,1,7,10.364794520547946
54,5,1786.79,3,4,4,344,Loyal Customers,357.358,5,311,1522.44298630137
64,1,122.7,3,1,1,311,Need Attention,122.7,1,301,101.1854794520548
86,1,117.24,2,1,1,211,Lost,117.24,1,279,89.61632876712328
55,1,1271.57,3,1,4,314,Need Attention,1271.57,1,310,1079.9635616438354
21,13,3219.77,4,5,5,455,Champions,247.67461538461538,13,344,3034.5229589041096
4,20,17159.52,5,5,5,555,Champions,857.976,20,361,16971.470465753428
3,5,1191.13,5,4,4,544,Champions,238.22600000000003,5,362,1181.339890410959
11,5,2674.48,5,4,5,545,Champions,534.896,5,354,2593.8792328767117
7,5,787.6,5,4,3,543,Champions,157.52,5,358,772.4953424657534
189,2,506.8,1,2,3,123,Lost,253.4,2,176,244.37479452054797
71,1,243.56,3,1,1,311,Need Attention,243.56,1,294,196.18257534246575
204,1,349.55,1,1,2,112,Lost,349.55,1,161,154.1850684931507
120,2,595.67,2,2,3,223,Lost,297.835,2,245,399.8332876712329
93,1,416.9,2,1,2,212,Lost,416.9,1,272,310.6761643835616
1,10,1883.81,5,5,4,554,Champions,188.381,10,364,1878.6488767123287
27,4,632.97,4,4,3,443,Champions,158.2425,4,338,586.1475616438356
298,1,821.1,1,1,3,113,Lost,821.1,1,67,150.72246575342467
24,3,564.62,4,3,3,433,Need Attention,188.20666666666668,3,341,527.494301369863
28,4,2593.07,4,4,5,445,Champions,648.2675,4,337,2394.1495616438356
50,1,311.16,3,1,2,312,Need Attention,311.16,1,315,268.53534246575344
326,1,155.93,1,1,1,111,Lost,155.93,1,39,16.66101369863014
16,2,388.52,4,3,2,432,Need Attention,194.26,2,349,371.48898630136983
183,3,740.95,1,3,3,133,At Risk,246.98333333333335,3,182,369.46000000000004
72,5,2867.2000000000003,3,4,5,345,Loyal Customers,573.44,5,293,2301.6153424657537
37,2,332.64,3,3,2,332,Need Attention,166.32,2,328,298.9203287671233
80,4,2319.55,2,4,5,245,Loyal Customers,579.8875,4,285,1811.155479452055
57,9,2580.91,3,5,5,355,Loyal Customers,286.7677777777778,9,308,2177.8637808219178
12,2,626.45,5,3,3,533,Need Attention,313.225,2,353,605.8543835616439
50,2,272.04,3,3,2,332,Need Attention,136.02,2,315,234.7742465753425
50,2,1212.84,3,3,4,334,Need Attention,606.42,2,315,1046.6975342465753
59,2,348.81,3,3,2,332,Need Attention,174.405,2,306,292.42701369863016
352,1,172.25,1,1,1,111,Lost,172.25,1,13,6.134931506849315
54,1,351.13,3,1,2,312,Need Attention,351.13,1,311,299.182
2,6,1838.85,5,5,4,554,Champions,306.47499999999997,6,363,1828.774109589041
93,4,678.25,2,4,3,243,Loyal Customers,169.5625,4,272,505.4356164383562
23,1,223.85,4,1,1,411,Potential Loyalists,223.85,1,342,209.74438356164384
75,1,348.99,2,1,2,212,Lost,348.99,1,290,277.27972602739726
11,4,464.57,5,4,2,542,Champions,116.1425,4,354,450.5692602739726
169,2,842.65,2,3,3,233,At Risk,421.325,2,196,452.49150684931504
58,2,337.34,3,3,2,332,Need Attention,168.67,2,307,283.73528767123287
96,2,1237.53,2,3,4,234,At Risk,618.765,2,269,912.0426575342465
295,1,307.4,1,1,2,112,Lost,307.4,1,70,58.95342465753424
109,2,608.79,2,3,3,233,At Risk,304.395,2,256,426.98695890410954
264,1,922.1,1,1,3,113,Lost,922.1,1,101,255.15643835616436
180,1,376.58,1,1,2,112,Lost,376.58,1,185,190.86931506849317
169,1,158.85,2,1,1,211,Lost,158.85,1,196,85.30027397260274
35,1,71.66,3,1,1,311,Need Attention,71.66,1,330,64.78849315068493
23,3,568.55,4,3,3,433,Need Attention,189.51666666666665,3,342,532.7235616438356
17,4,839.14,4,4,3,443,Champions,209.785,4,348,800.0567671232876
22,5,5112.96,4,4,5,445,Champions,1022.592,5,343,4804.781589041096
79,3,561.57,2,3,3,233,At Risk,187.19000000000003,3,286,440.0247123287672
65,1,90.6,3,1,1,311,Need Attention,90.6,1,300,74.46575342465752
361,1,102.0,1,1,1,111,Lost,102.0,1,4,1.1178082191780823
3,6,2427.32,5,5,5,555,Champions,404.55333333333334,6,362,2407.3694246575346
11,4,745.0600000000001,5,4,3,543,Champions,186.26500000000001,4,354,722.6061369863014
176,3,674.45,2,3,3,233,At Risk,224.8166666666667,3,189,349.23575342465756
218,2,3251.07,1,3,5,135,At Risk,1625.535,2,147,1309.3350410958906
7,7,3515.68,5,5,5,555,Champions,502.23999999999995,7,358,3448.256
2,2,439.92,5,3,2,532,Need Attention,219.96,2,363,437.50947945205485
154,2,322.96,2,3,2,232,At Risk,161.48,2,211,186.6974246575342
5,5,1019.27,5,4,4,544,Champions,203.85399999999998,5,360,1005.3073972602739
79,3,594.04,2,3,3,233,At Risk,198.01333333333332,3,286,465.46695890410956
21,2,230.22,4,3,1,431,Need Attention,115.11,2,344,216.97446575342465
22,2,169.54999999999998,4,3,1,431,Need Attention,84.77499999999999,2,343,159.33054794520547
308,4,664.54,1,4,3,143,Loyal Customers,166.135,4,57,103.77747945205479
146,1,80.7,2,1,1,211,Lost,80.7,1,219,48.42
7,18,9024.17,5,5,5,555,Champions,501.34277777777777,18,358,8851.103726027397
19,8,2758.26,4,5,5,455,Champions,344.7825,8,346,2614.6793424657535
71,2,190.25,3,3,1,331,Need Attention,95.125,2,294,153.24246575342465
287,1,264.7,1,1,2,112,Lost,264.7,1,78,56.56602739726027
49,1,413.59,3,1,2,312,Need Attention,413.59,1,316,358.0669589041096
31,6,2461.24,4,5,5,455,Champions,410.20666666666665,6,334,2252.2031780821917
207,1,357.98,1,1,2,112,Lost,357.98,1,158,154.96120547945208
15,2,196.79,4,3,1,431,Need Attention,98.395,2,350,188.70273972602737
73,1,869.87,2,1,3,213,Lost,869.87,1,292,695.8960000000001
60,1,200.14,3,1,1,311,Need Attention,200.14,1,305,167.24027397260272
39,4,1871.81,3,4,4,344,Loyal Customers,467.9525,4,326,1671.8083835616437
30,12,2603.43,4,5,5,455,Champions,216.9525,12,335,2389.449452054794
27,5,920.51,4,4,3,443,Champions,184.102,5,338,852.4174794520547
4,15,7060.13,5,5,5,555,Champions,470.67533333333336,15,361,6982.758712328768
17,1,320.46,4,1,2,412,Potential Loyalists,320.46,1,348,305.5344657534246
20,6,4147.96,4,5,5,455,Champions,691.3266666666667,6,345,3920.674520547945
66,2,1266.08,3,3,4,334,Need Attention,633.04,2,299,1037.1449863013697
213,1,311.3,1,1,2,112,Lost,311.3,1,152,129.6372602739726
12,6,851.88,5,5,3,553,Champions,141.98,6,353,823.8729863013698
30,1,76.8,4,1,1,411,Potential Loyalists,76.8,1,335,70.4876712328767
43,9,3466.36,3,5,5,355,Loyal Customers,385.1511111111111,9,322,3057.9943013698635
4,6,2274.14,5,5,5,555,Champions,379.0233333333333,6,361,2249.217917808219
15,5,1393.69,4,4,4,444,Champions,278.738,5,350,1336.4150684931506
10,12,3901.81,5,5,5,555,Champions,325.1508333333333,12,355,3794.9110958904103
211,1,635.66,1,1,3,113,Lost,635.66,1,154,268.19627397260274
46,3,2043.08,3,3,5,335,Need Attention,681.0266666666666,3,319,1785.5959452054792
134,2,529.73,2,3,3,233,At Risk,264.865,2,231,335.2537808219178
43,7,4582.64,3,5,5,355,Loyal Customers,654.6628571428572,7,322,4042.7673424657537
10,5,2874.72,5,4,5,545,Champions,574.944,5,355,2795.9605479452052
116,3,962.19,2,3,4,234,At Risk,320.73,3,249,656.3981095890412
198,2,695.61,1,3,3,133,At Risk,347.805,2,167,318.26539726027397
278,1,328.8,1,1,2,112,Lost,328.8,1,87,78.37150684931507
110,3,473.02,2,3,2,232,At Risk,157.67333333333332,3,255,330.4660273972603
77,1,505.18,2,1,3,213,Lost,505.18,1,288,398.6077808219178
53,1,917.34,3,1,3,313,Need Attention,917.34,1,312,784.1372054794521
162,4,4291.21,2,4,5,245,Loyal Customers,1072.8025,4,203,2386.618164383562
47,3,1421.61,3,3,4,334,Need Attention,473.86999999999995,3,318,1238.5533698630136
17,2,642.8,4,3,3,433,Need Attention,321.4,2,348,612.8613698630137
155,3,631.9,2,3,3,233,At Risk,210.63333333333333,3,210,363.558904109589
225,1,440.0,1,1,2,112,Lost,440.0,1,140,168.7671232876712
7,2,584.07,5,3,3,533,Need Attention,292.035,2,358,572.8686575342466
122,2,327.7,2,3,2,232,At Risk,163.85,2,243,218.167397260274
61,1,104.82,3,1,1,311,Need Attention,104.82,1,304,87.30213698630136
63,2,467.66,3,3,2,332,Need Attention,233.83,2,302,386.94060273972605
18,8,2358.84,4,5,5,455,Champions,294.855,8,347,2242.5136438356167
7,19,17286.86,5,5,5,555,Champions,909.8347368421053,19,358,16955.331178082193
2,11,2975.59,5,5,5,555,Champions,270.5081818181818,11,363,2959.2853972602743
22,3,648.89,4,3,3,433,Need Attention,216.29666666666665,3,343,609.7788219178083
29,5,1428.02,4,4,4,444,Champions,285.604,5,336,1314.5608767123288
285,1,626.65,1,1,3,113,Lost,626.65,1,80,137.34794520547945
176,2,147.20000000000002,2,3,1,231,At Risk,73.60000000000001,2,189,76.2213698630137
78,3,1560.38,2,3,4,234,At Risk,520.1266666666667,3,287,1226.9289315068495
33,1,152.2,4,1,1,411,Potential Loyalists,152.2,1,332,138.43945205479451
41,12,3560.32,3,5,5,355,Loyal Customers,296.6933333333333,12,324,3160.3936438356163
266,1,141.41,1,1,1,111,Lost,141.41,1,99,38.35504109589041
27,4,646.42,4,4,3,443,Champions,161.605,4,338,598.6026301369862
109,4,1659.75,2,4,4,244,Loyal Customers,414.9375,4,256,1164.0986301369862
284,1,151.59,1,1,1,111,Lost,151.59,1,81,33.64052054794521
9,5,1308.61,5,4,4,544,Champions,261.722,5,356,1276.342904109589
305,1,409.93,1,1,2,112,Lost,409.93,1,60,67.38575342465754
17,4,5578.72,4,4,5,445,Champions,1394.68,4,348,5318.889205479452
32,2,746.36,4,3,3,433,Need Attention,373.18,2,333,680.925698630137
1,23,15610.39,5,5,5,555,Champions,678.7126086956522,23,364,15567.621808219179
20,1,225.36,4,1,1,411,Potential Loyalists,225.36,1,345,213.01150684931508
124,2,260.25,2,3,2,232,At Risk,130.125,2,241,171.836301369863
65,1,92.46,3,1,1,311,Need Attention,92.46,1,300,75.9945205479452
106,1,725.6400000000001,2,1,3,213,Lost,725.6400000000001,1,259,514.9061917808219
1,23,8152.71,5,5,5,555,Champions,354.46565217391304,23,364,8130.3738082191785
24,17,6211.66,4,5,5,455,Champions,365.39176470588234,17,341,5803.222082191781
267,1,183.6,1,1,1,111,Lost,183.6,1,98,49.29534246575342
5,19,6140.42,5,5,5,555,Champions,323.18,19,360,6056.304657534246
10,12,10464.85,5,5,5,555,Champions,872.0708333333333,12,355,10178.141780821918
29,5,1334.34,4,4,4,444,Champions,266.868,5,336,1228.3239452054793
267,1,152.55,1,1,1,111,Lost,152.55,1,98,40.95863013698631
64,2,374.7,3,3,2,332,Need Attention,187.35,2,301,308.9991780821918
320,1,265.85,1,1,2,112,Lost,265.85,1,45,32.77602739726027
4,8,1422.75,5,5,4,554,Champions,177.84375,8,361,1407.1582191780822
32,1,151.04,4,1,1,411,Potential Loyalists,151.04,1,333,137.79813698630136
5,3,942.26,5,3,4,534,Need Attention,314.08666666666664,3,360,929.3523287671233
129,1,118.67,2,1,1,211,Lost,118.67,1,236,76.72909589041096
41,5,499.42,3,4,3,343,Loyal Customers,99.884,5,324,443.3207671232877
102,6,1049.37,2,5,4,254,Loyal Customers,174.89499999999998,6,263,756.121397260274
125,1,375.1,2,1,2,212,Lost,375.1,1,240,246.64109589041095
33,1,45.6,4,1,1,411,Potential Loyalists,45.6,1,332,41.477260273972604
302,2,921.62,1,3,3,133,At Risk,460.81,2,63,159.07413698630137
365,1,182.25,1,1,1,111,Lost,182.25,1,0,0.0
4,9,1002.9,5,5,4,554,Champions,111.43333333333334,9,361,991.9093150684932
2,18,4421.29,5,5,5,555,Champions,245.62722222222223,18,363,4397.063753424658
3,1,191.47,5,1,1,511,Potential Loyalists,191.47,1,362,189.89627397260276
10,13,50491.81,5,5,5,555,Champions,3883.9853846153846,13,355,49108.47273972603
57,1,158.75,3,1,1,311,Need Attention,158.75,1,308,133.95890410958904
325,1,76.32000000000001,1,1,1,111,Lost,76.32000000000001,1,40,8.363835616438356
8,14,4076.91,5,5,5,555,Champions,291.2078571428571,14,357,3987.55306849315
12,1,433.86,5,1,2,512,Potential Loyalists,433.86,1,353,419.59610958904113
4,17,53258.43,5,5,5,555,Champions,3132.8488235294117,17,361,52674.77597260274
37,1,147.35,3,1,1,311,Need Attention,147.35,1,328,132.4131506849315
16,11,3104.17,4,5,5,455,Champions,282.1972727272727,11,349,2968.096794520548
138,1,191.95,2,1,1,211,Lost,191.95,1,227,119.37712328767122
74,6,5976.79,2,5,5,255,Loyal Customers,996.1316666666667,6,291,4765.057232876712
5,5,1105.88,5,4,4,544,Champions,221.17600000000002,5,360,1090.7309589041097
155,2,216.21,2,3,1,231,At Risk,108.105,2,210,124.39479452054795
239,1,1266.23,1,1,4,114,Lost,1266.23,1,126,437.1095342465754
52,7,2703.23,3,5,5,355,Loyal Customers,386.17571428571426,7,313,2318.112301369863
31,2,597.91,4,3,3,433,Need Attention,298.955,2,334,547.128602739726
73,1,144.2,2,1,1,211,Lost,144.2,1,292,115.36
4,12,5683.15,5,5,5,555,Champions,473.5958333333333,12,361,5620.868904109589
14,4,692.85,5,4,3,543,Champions,173.2125,4,351,666.2749315068494
23,7,2915.15,4,5,5,455,Champions,416.45,7,342,2731.455616438356
4,4,1840.42,5,4,4,544,Champions,460.105,4,361,1820.2510136986302
274,2,386.53,1,3,2,132,At Risk,193.265,2,91,96.36775342465752
20,5,1382.74,4,4,4,444,Champions,276.548,5,345,1306.9734246575342
144,1,90.0,2,1,1,211,Lost,90.0,1,221,54.4931506849315
4,4,2780.15,5,4,5,545,Champions,695.0375,4,361,2749.6826027397265
84,1,419.58,2,1,2,212,Lost,419.58,1,281,323.0191232876712
11,3,2720.63,5,3,5,535,Need Attention,906.8766666666667,3,354,2638.6384109589044
8,3,706.1300000000001,5,3,3,533,Need Attention,235.3766666666667,3,357,690.6531780821919
123,3,709.71,2,3,3,233,At Risk,236.57000000000002,3,242,470.5474520547946
61,2,637.5,3,3,3,333,Need Attention,318.75,2,304,530.9589041095891
2,5,1123.86,5,4,4,544,Champions,224.772,5,363,1117.7018630136986
319,1,480.91,1,1,2,112,Lost,480.91,1,46,60.607835616438365
2,11,3586.03,5,5,5,555,Champions,326.00272727272727,11,363,3566.3805205479453
130,3,605.64,2,3,3,233,At Risk,201.88,3,235,389.932602739726
2,15,4690.31,5,5,5,555,Champions,312.68733333333336,15,363,4664.609671232877
2,2,965.88,5,3,4,534,Need Attention,482.94,2,363,960.5875068493151
46,1,415.82,3,1,2,312,Need Attention,415.82,1,319,363.4152876712329
4,2,935.05,5,3,4,534,Need Attention,467.525,2,361,924.8028767123287
3,4,915.13,5,4,3,543,Champions,228.7825,4,362,907.6083835616439
373,1,311.81,1,1,2,112,Lost,311.81,1,-8,-6.834191780821918
134,1,115.8,2,1,1,211,Lost,115.8,1,231,73.28712328767122
47,4,3742.2,3,4,5,345,Loyal Customers,935.55,4,318,3260.3276712328766
9,5,4191.0,5,4,5,545,Champions,838.2,5,356,4087.6602739726027
78,2,483.4,2,3,3,233,At Risk,241.7,2,287,380.0980821917808
234,1,157.2,1,1,1,111,Lost,157.2,1,131,56.41972602739726
221,1,446.62,1,1,2,112,Lost,446.62,1,144,176.20076712328768
36,2,658.64,3,3,3,333,Need Attention,329.32,2,329,593.6782465753424
75,2,621.29,2,3,3,233,At Risk,310.645,2,290,493.62767123287665
239,2,1345.62,1,3,4,134,At Risk,672.81,2,126,464.51539726027397
266,1,118.75,1,1,1,111,Lost,118.75,1,99,32.20890410958904
10,54,116560.08,5,5,5,555,Champions,2158.52,54,355,113366.65315068493
20,2,424.89,4,3,2,432,Need Attention,212.445,2,345,401.60835616438357
40,1,507.66,3,1,3,313,Need Attention,507.66,1,325,452.0260273972603
20,11,4627.98,4,5,5,455,Champions,420.7254545454545,11,345,4374.39205479452
216,3,1097.62,1,3,4,134,At Risk,365.8733333333333,3,149,448.0695342465753
174,2,289.36,2,3,2,232,At Risk,144.68,2,191,151.4185205479452
87,4,2445.91,2,4,5,245,Loyal Customers,611.4775,4,278,1862.9122739726026
71,2,1631.77,3,3,4,334,Need Attention,815.885,2,294,1314.357205479452
276,1,120.44,1,1,1,111,Lost,120.44,1,89,29.367561643835614
39,4,562.59,3,4,3,343,Loyal Customers,140.6475,4,326,502.47764383561645
98,1,363.79,2,1,2,212,Lost,363.79,1,267,266.1148767123288
11,4,450.84,5,4,2,542,Champions,112.71,4,354,437.2530410958904
33,1,134.46,4,1,1,411,Potential Loyalists,134.46,1,332,122.30334246575343
60,3,3222.3,3,3,5,335,Need Attention,1074.1000000000001,3,305,2692.6068493150688
297,4,576.9000000000001,1,4,3,143,Loyal Customers,144.22500000000002,4,68,107.47726027397263
86,4,549.46,2,4,3,243,Loyal Customers,137.365,4,279,419.9981917808219
9,7,1580.26,5,5,4,554,Champions,225.75142857142856,7,356,1541.294684931507
41,2,701.57,3,3,3,333,Need Attention,350.785,2,324,622.7635068493151
11,25,4748.52,5,5,5,555,Champions,189.94080000000002,25,354,4605.41391780822
67,1,452.89,3,1,2,312,Need Attention,452.89,1,298,369.75676712328766
331,1,197.65,1,1,1,111,Lost,197.65,1,34,18.41123287671233
31,6,2054.36,4,5,5,455,Champions,342.3933333333334,6,334,1879.8801095890412
2,15,4654.08,5,5,5,555,Champions,310.272,15,363,4628.578191780822
2,13,4684.76,5,5,5,555,Champions,360.36615384615385,13,363,4659.090082191781
68,2,853.39,3,3,3,333,Need Attention,426.695,2,297,694.4022739726028
5,21,11349.52,5,5,5,555,Champions,540.4533333333334,21,360,11194.047123287672
202,2,1012.0,1,3,4,134,At Risk,506.0,2,163,451.93424657534246
107,1,335.52,2,1,2,212,Lost,335.52,1,258,237.1620821917808
18,4,701.4,4,4,3,443,Champions,175.35,4,347,666.8104109589041
218,1,185.4,1,1,1,111,Lost,185.4,1,147,74.66794520547946
60,7,747.44,3,5,3,353,Loyal Customers,106.77714285714286,7,305,624.5731506849315
2,1,150.61,5,1,1,511,Potential Loyalists,150.61,1,363,149.78473972602742
17,2,466.7,4,3,2,432,Need Attention,233.35,2,348,444.9632876712329
239,1,328.16,1,1,2,112,Lost,328.16,1,126,113.28263013698631
95,1,151.74,2,1,1,211,Lost,151.74,1,270,112.24602739726028
11,6,2073.43,5,5,5,555,Champions,345.57166666666666,6,354,2010.9430684931506
106,6,1905.84,2,5,4,254,Loyal Customers,317.64,6,259,1352.3631780821918
53,9,2241.1,3,5,5,355,Loyal Customers,249.0111111111111,9,312,1915.68
90,1,1070.48,2,1,4,214,Lost,1070.48,1,275,806.5260273972603
31,5,1004.38,4,4,4,444,Champions,200.876,5,334,919.076493150685
12,6,1789.72,5,5,4,554,Champions,298.2866666666667,6,353,1730.8798904109592
3,4,1839.3,5,4,4,544,Champions,459.825,4,362,1824.1824657534246
2,17,2004.98,5,5,4,554,Champions,117.94,17,363,1993.9938082191782
43,1,169.48000000000002,3,1,1,311,Need Attention,169.48000000000002,1,322,149.51386301369865
4,1,89.94,5,1,1,511,Potential Loyalists,89.94,1,361,88.95435616438357
247,2,632.4000000000001,1,3,3,133,At Risk,316.20000000000005,2,118,204.44712328767127
42,9,3432.8,3,5,5,355,Loyal Customers,381.4222222222222,9,323,3037.792876712329
177,1,683.17,2,1,3,213,Lost,683.17,1,188,351.8793424657534
92,3,991.13,2,3,4,234,At Risk,330.37666666666667,3,273,741.3109315068493
110,4,1009.73,2,4,4,244,Loyal Customers,252.4325,4,255,705.4278082191781
29,5,2214.79,4,4,5,445,Champions,442.95799999999997,5,336,2038.820383561644
26,10,3350.96,4,5,5,455,Champions,335.096,10,339,3112.2614794520546
52,3,1547.2,3,3,4,334,Need Attention,515.7333333333333,3,313,1326.77698630137
184,3,925.71,1,3,4,134,At Risk,308.57,3,181,459.05071232876713
43,5,2048.07,3,4,5,345,Loyal Customers,409.61400000000003,5,322,1806.7905205479453
49,4,1462.72,3,4,4,344,Loyal Customers,365.68,4,316,1266.3548493150686
22,4,754.12,4,4,3,443,Champions,188.53,4,343,708.6661917808219
75,5,3144.86,2,4,5,245,Loyal Customers,628.972,5,290,2498.6558904109584
81,2,490.86,2,3,3,233,At Risk,245.43,2,284,381.92942465753424
373,1,161.0,1,1,1,111,Lost,161.0,1,-8,-3.5287671232876714
326,1,146.85,1,1,1,111,Lost,146.85,1,39,15.690821917808218
43,11,2380.85,3,5,5,355,Loyal Customers,216.4409090909091,11,322,2100.366301369863
30,2,890.34,4,3,3,433,Need Attention,445.17,2,335,817.1613698630138
184,1,213.7,1,1,1,111,Lost,213.7,1,181,105.9717808219178
235,2,280.55,1,3,2,132,At Risk,140.275,2,130,99.92191780821918
9,10,2588.77,5,5,5,555,Champions,258.877,10,356,2524.9373150684933
220,2,1693.45,1,3,4,134,At Risk,846.725,2,145,672.7404109589041
111,3,1474.06,2,3,4,234,At Risk,491.3533333333333,3,254,1025.7842191780821
278,1,136.77,1,1,1,111,Lost,136.77,1,87,32.599972602739726
318,1,302.58,1,1,2,112,Lost,302.58,1,47,38.96235616438356
7,3,1904.05,5,3,4,534,Need Attention,634.6833333333333,3,358,1867.5339726027394
2,5,2879.7000000000003,5,4,5,545,Champions,575.94,5,363,2863.9208219178086
260,2,969.06,1,3,4,134,At Risk,484.53,2,105,278.7706849315068
64,5,3099.7200000000003,3,4,5,345,Loyal Customers,619.9440000000001,5,301,2556.207452054795
9,9,12669.98,5,5,5,555,Champions,1407.7755555555555,9,356,12357.569534246575
142,1,120.0,2,1,1,211,Lost,120.0,1,223,73.31506849315069
51,2,1163.45,3,3,4,334,Need Attention,581.725,2,314,1000.8857534246577
8,8,2618.23,5,5,5,555,Champions,327.27875,8,357,2560.8441369863012
155,2,333.97,2,3,2,232,At Risk,166.985,2,210,192.14712328767123
109,2,530.18,2,3,3,233,At Risk,265.09,2,256,371.8522739726027
163,3,1516.24,2,3,4,234,At Risk,505.41333333333336,3,202,839.1246027397259
332,1,492.65,1,1,3,113,Lost,492.65,1,33,44.54095890410959
226,1,112.32,1,1,1,111,Lost,112.32,1,139,42.773917808219174
74,2,437.96,2,3,2,232,At Risk,218.98,2,291,349.1681095890411
51,4,559.97,3,4,3,343,Loyal Customers,139.9925,4,314,481.7276164383562
99,3,1119.74,2,3,4,234,At Risk,373.24666666666667,3,266,816.029698630137
15,3,4152.0,4,3,5,435,Need Attention,1384.0,3,350,3981.3698630136983
197,1,134.04,1,1,1,111,Lost,134.04,1,168,61.69512328767123
3,15,3701.44,5,5,5,555,Champions,246.76266666666666,15,362,3671.017205479452
31,2,595.25,4,3,3,433,Need Attention,297.625,2,334,544.6945205479452
21,4,1910.01,4,4,4,444,Champions,477.5025,4,344,1800.1190136986302
24,3,4628.75,4,3,5,435,Need Attention,1542.9166666666667,3,341,4324.393835616439
8,3,176.63,5,3,1,531,Need Attention,58.876666666666665,3,357,172.75865753424657
213,1,426.6,1,1,2,112,Lost,426.6,1,152,177.65260273972603
9,6,911.26,5,5,3,553,Champions,151.87666666666667,6,356,888.7905753424658
11,5,2314.65,5,4,5,545,Champions,462.93,5,354,2244.8934246575345
2,11,3883.25,5,5,5,555,Champions,353.02272727272725,11,363,3861.971917808219
8,9,4871.93,5,5,5,555,Champions,541.3255555555556,9,357,4765.14797260274
3,4,1046.56,5,4,4,544,Champions,261.64,4,362,1037.9581369863013
40,1,166.20000000000002,3,1,1,311,Need Attention,166.20000000000002,1,325,147.98630136986304
18,4,1305.33,4,4,4,444,Champions,326.3325,4,347,1240.9575616438356
8,44,51527.3,5,5,5,555,Champions,1171.075,44,357,50397.93452054795
8,9,3965.62,5,5,5,555,Champions,440.6244444444444,9,357,3878.7023013698627
19,1,43.2,4,1,1,411,Potential Loyalists,43.2,1,346,40.95123287671233
117,1,640.14,2,1,3,213,Lost,640.14,1,248,434.94443835616437
223,1,383.45,1,1,2,112,Lost,383.45,1,142,149.17780821917808
71,3,1858.96,3,3,4,334,Need Attention,619.6533333333333,3,294,1497.354082191781
51,2,2093.32,3,3,5,335,Need Attention,1046.66,2,314,1800.8287123287673
89,6,2995.7200000000003,2,5,5,255,Loyal Customers,499.2866666666667,6,276,2265.256767123288
8,9,2352.53,5,5,5,555,Champions,261.39222222222224,9,357,2300.967698630137
243,1,310.26,1,1,2,112,Lost,310.26,1,122,103.70334246575342
47,6,1611.59,3,5,4,354,Loyal Customers,268.5983333333333,6,318,1404.0701917808217
107,1,120.0,2,1,1,211,Lost,120.0,1,258,84.82191780821918
45,6,2481.13,3,5,5,355,Loyal Customers,413.5216666666667,6,320,2175.2372602739724
65,1,508.58,3,1,3,313,Need Attention,508.58,1,300,418.01095890410954
207,2,477.79,1,3,2,132,At Risk,238.895,2,158,206.82416438356165
11,5,1530.75,5,4,4,544,Champions,306.15,5,354,1484.6178082191782
115,2,605.0600000000001,2,3,3,233,At Risk,302.53000000000003,2,250,414.4246575342466
242,1,183.85,1,1,1,111,Lost,183.85,1,123,61.95493150684931
163,1,311.65000000000003,2,1,2,212,Lost,311.65000000000003,1,202,172.47479452054796
17,7,4975.24,4,5,5,455,Champions,710.7485714285714,7,348,4743.516493150684
124,2,462.66,2,3,2,232,At Risk,231.33,2,241,305.48235616438353
23,3,840.21,4,3,3,433,Need Attention,280.07,3,342,787.2652602739727
68,1,415.2,3,1,2,312,Need Attention,415.2,1,297,337.8476712328767
17,8,2552.21,4,5,5,455,Champions,319.02625,8,348,2433.3399452054796
16,2,454.86,4,3,2,432,Need Attention,227.43,2,349,434.9209315068493
17,4,1614.91,4,4,4,444,Champions,403.7275,4,348,1539.6950136986302
161,2,588.22,2,3,3,233,At Risk,294.11,2,204,328.7585753424658
243,1,309.52000000000004,1,1,2,112,Lost,309.52000000000004,1,122,103.45600000000002
219,1,134.7,1,1,1,111,Lost,134.7,1,146,53.879999999999995
45,8,2166.98,3,5,5,355,Loyal Customers,270.8725,8,320,1899.8180821917808
21,4,668.5600000000001,4,4,3,443,Champions,167.14000000000001,4,344,630.0949041095892
127,8,889.9300000000001,2,5,3,253,Loyal Customers,111.24125000000001,8,238,580.2831232876713
39,1,108.98,3,1,1,311,Need Attention,108.98,1,326,97.33556164383562
121,2,1021.58,2,3,4,234,At Risk,510.79,2,244,682.9192328767124
260,1,409.57,1,1,2,112,Lost,409.57,1,105,117.82150684931506
