Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
36,4,1299.59,3,4,4,344,Loyal Customers
64,2,712.88,3,2,3,323,Need Attention
27,1,108.81,4,1,1,411,Potential Loyalists
22,3,468.41,4,3,2,432,Need Attention
4,2,353.65000000000003,5,2,2,522,Potential Loyalists
16,3,2738.82,4,3,5,435,Need Attention
46,1,481.49,3,1,2,312,Need Attention
65,1,282.45,3,1,2,312,Need Attention
26,11,5725.47,4,5,5,455,Champions
45,1,121.18,3,1,1,311,Need Attention
8,9,3957.78,5,5,5,555,Champions
15,10,1667.95,4,5,4,454,Champions
268,1,71.4,1,1,1,111,Lost
40,3,1575.89,3,3,4,334,Need Attention
337,1,236.02,1,1,1,111,Lost
11,1,114.6,5,1,1,511,Potential Loyalists
19,2,260.68,4,2,2,422,Potential Loyalists
95,2,911.94,2,2,3,223,Lost
61,1,112.08,3,1,1,311,Need Attention
136,1,60.7,2,1,1,211,Lost
11,4,1797.78,5,4,4,544,Champions
10,6,3401.2400000000002,5,5,5,555,Champions
4,37,9802.12,5,5,5,555,Champions
19,4,870.09,4,4,3,443,Champions
10,4,869.46,5,4,3,543,Champions
15,2,250.26000000000002,4,2,2,422,Potential Loyalists
59,5,1193.17,3,4,4,344,Loyal Customers
30,8,5891.61,4,5,5,455,Champions
94,1,353.48,2,1,2,212,Lost
10,3,1095.42,5,3,4,534,Need Attention
20,3,786.83,4,3,3,433,Need Attention
57,5,1520.58,3,4,4,344,Loyal Customers
268,1,333.74,1,1,2,112,Lost
122,3,533.98,2,3,3,233,At Risk
127,1,62.64,2,1,1,211,Lost
78,4,819.2900000000001,2,4,3,243,Loyal Customers
240,2,844.86,1,2,3,123,Lost
200,2,163.2,1,2,1,121,Lost
60,2,2152.95,3,2,5,325,Need Attention
3,7,6463.84,5,5,5,555,Champions
273,1,108.21000000000001,1,1,1,111,Lost
202,1,257.7,1,1,2,112,Lost
81,1,358.0,2,1,2,212,Lost
226,1,160.95,1,1,1,111,Lost
4,14,2755.63,5,5,5,555,Champions
13,7,1327.75,5,5,4,554,Champions
74,2,605.12,2,2,3,223,Lost
212,1,1031.07,1,1,4,114,Lost
25,2,744.85,4,2,3,423,Potential Loyalists
17,4,700.73,4,4,3,443,Champions
262,1,329.56,1,1,2,112,Lost
96,4,648.7,2,4,3,243,Loyal Customers
112,3,270.40000000000003,2,3,2,232,At Risk
203,1,585.12,1,1,3,113,Lost
93,1,121.74000000000001,2,1,1,211,Lost
51,1,430.5,3,1,2,312,Need Attention
18,6,1961.52,4,5,4,454,Champions
18,4,501.12,4,4,3,443,Champions
125,2,465.68,2,2,2,222,Lost
92,3,711.41,2,3,3,233,At Risk
157,2,1030.4,2,2,4,224,Lost
9,2,399.51,5,2,2,522,Potential Loyalists
12,3,672.83,5,3,3,533,Need Attention
62,1,283.18,3,1,2,312,Need Attention
61,1,557.62,3,1,3,313,Need Attention
269,2,944.1,1,2,4,124,Lost
263,1,200.29,1,1,1,111,Lost
1,34,7411.71,5,5,5,555,Champions
53,5,2092.66,3,4,5,345,Loyal Customers
11,12,3834.2599999999998,5,5,5,555,Champions
3,19,4521.49,5,5,5,555,Champions
18,10,3152.71,4,5,5,455,Champions
1,15,5343.28,5,5,5,555,Champions
366,1,590.0,1,1,3,113,Lost
37,1,211.49,3,1,1,311,Need Attention
31,2,276.56,4,2,2,422,Potential Loyalists
113,1,138.98,2,1,1,211,Lost
64,2,590.9300000000001,3,2,3,323,Need Attention
16,4,258.4,4,4,2,442,Champions
41,1,542.73,3,1,3,313,Need Attention
78,1,137.75,2,1,1,211,Lost
122,3,798.46,2,3,3,233,At Risk
18,3,1132.14,4,3,4,434,Need Attention
60,2,93.66,3,2,1,321,Need Attention
331,1,201.19,1,1,1,111,Lost
23,4,2709.12,4,4,5,445,Champions
156,1,361.11,2,1,2,212,Lost
39,2,578.94,3,2,3,323,Need Attention
190,2,873.74,1,2,3,123,Lost
360,1,201.20000000000002,1,1,1,111,Lost
137,1,87.4,2,1,1,211,Lost
8,4,2089.85,5,4,5,545,Champions
1,1,360.0,5,1,2,512,Potential Loyalists
268,1,142.5,1,1,1,111,Lost
169,1,371.89,2,1,2,212,Lost
104,4,600.1899999999999,2,4,3,243,Loyal Customers
155,1,63.75,2,1,1,211,Lost
351,1,300.42,1,1,2,112,Lost
4,10,2000.86,5,5,4,554,Champions
120,1,15.0,2,1,1,211,Lost
23,3,1385.51,4,3,4,434,Need Attention
7,5,1456.79,5,4,4,544,Champions
28,3,1132.03,4,3,4,434,Need Attention
4,2,598.57,5,2,3,523,Potential Loyalists
22,5,1555.3200000000002,4,4,4,444,Champions
2,3,775.94,5,3,3,533,Need Attention
37,4,5732.93,3,4,5,345,Loyal Customers
66,6,2273.68,3,5,5,355,Loyal Customers
1,3,640.76,5,3,3,533,Need Attention
5,26,10845.550000000001,5,5,5,555,Champions
78,4,1532.2,2,4,4,244,Loyal Customers
72,2,567.36,3,2,3,323,Need Attention
17,1,199.48000000000002,4,1,1,411,Potential Loyalists
3,5,787.85,5,4,3,543,Champions
36,10,7121.95,3,5,5,355,Loyal Customers
82,1,675.3,2,1,3,213,Lost
39,8,3627.77,3,5,5,355,Loyal Customers
316,1,1308.48,1,1,4,114,Lost
32,2,789.0,4,2,3,423,Potential Loyalists
93,3,1140.93,2,3,4,234,At Risk
14,1,350.90000000000003,5,1,2,512,Potential Loyalists
82,3,3502.32,2,3,5,235,At Risk
77,1,795.12,2,1,3,213,Lost
158,1,437.02,2,1,2,212,Lost
201,1,860.12,1,1,3,113,Lost
45,7,10736.48,3,5,5,355,Loyal Customers
261,1,775.85,1,1,3,113,Lost
178,1,303.43,2,1,2,212,Lost
68,3,2511.69,3,3,5,335,Need Attention
288,1,339.5,1,1,2,112,Lost
70,1,291.36,3,1,2,312,Need Attention
64,1,233.76000000000002,3,1,1,311,Need Attention
11,1,197.32,5,1,1,511,Potential Loyalists
16,2,879.12,4,2,3,423,Potential Loyalists
66,1,323.94,3,1,2,312,Need Attention
60,1,347.98,3,1,2,312,Need Attention
71,1,743.53,3,1,3,313,Need Attention
122,1,674.7,2,1,3,213,Lost
80,1,768.24,2,1,3,213,Lost
257,1,609.4,1,1,3,113,Lost
269,1,389.03000000000003,1,1,2,112,Lost
64,1,389.56,3,1,2,312,Need Attention
9,4,3090.7400000000002,5,4,5,545,Champions
18,2,892.5,4,2,3,423,Potential Loyalists
71,1,134.96,3,1,1,311,Need Attention
34,2,2225.37,3,2,5,325,Need Attention
50,1,56.16,3,1,1,311,Need Attention
257,2,573.4,1,2,3,123,Lost
366,1,258.28000000000003,1,1,2,112,Lost
372,1,754.87,1,1,3,113,Lost
90,1,328.64,2,1,2,212,Lost
61,3,3312.25,3,3,5,335,Need Attention
89,1,778.65,2,1,3,213,Lost
99,3,869.76,2,3,3,233,At Risk
26,3,572.56,4,3,3,433,Need Attention
32,6,3639.31,4,5,5,455,Champions
281,1,222.99,1,1,1,111,Lost
31,7,4151.93,4,5,5,455,Champions
330,1,534.57,1,1,3,113,Lost
131,2,677.1,2,2,3,223,Lost
11,3,797.96,5,3,3,533,Need Attention
75,1,544.08,2,1,3,213,Lost
204,1,59.8,1,1,1,111,Lost
2,8,2520.02,5,5,5,555,Champions
185,1,307.72,1,1,2,112,Lost
29,2,1360.99,4,2,4,424,Potential Loyalists
73,5,1544.13,2,4,4,244,Loyal Customers
192,1,457.34000000000003,1,1,2,112,Lost
127,2,621.23,2,2,3,223,Lost
18,1,75.0,4,1,1,411,Potential Loyalists
1,2,252.49,5,2,2,522,Potential Loyalists
204,2,557.45,1,2,3,123,Lost
2,62,28117.04,5,5,5,555,Champions
24,5,1003.06,4,4,4,444,Champions
107,1,213.55,2,1,1,211,Lost
134,3,1390.5,2,3,4,234,At Risk
44,2,712.5,3,2,3,323,Need Attention
5,2,640.83,5,2,3,523,Potential Loyalists
12,18,6127.43,5,5,5,555,Champions
64,1,221.06,3,1,1,311,Need Attention
150,2,159.85,2,2,1,221,Lost
40,2,1823.21,3,2,4,324,Need Attention
64,1,2626.3,3,1,5,315,Need Attention
108,3,1624.21,2,3,4,234,At Risk
1,10,3641.32,5,5,5,555,Champions
19,3,582.6,4,3,3,433,Need Attention
10,1,201.78,5,1,1,511,Potential Loyalists
11,4,1006.8,5,4,4,544,Champions
19,2,679.45,4,2,3,423,Potential Loyalists
67,2,1269.1,3,2,4,324,Need Attention
74,2,534.24,2,2,3,223,Lost
5,7,3809.89,5,5,5,555,Champions
2,1,196.89,5,1,1,511,Potential Loyalists
14,7,3408.06,5,5,5,555,Champions
255,1,283.71,1,1,2,112,Lost
92,1,296.64,2,1,2,212,Lost
23,3,1129.14,4,3,4,434,Need Attention
17,6,3534.69,4,5,5,455,Champions
24,1,291.88,4,1,2,412,Potential Loyalists
27,6,2043.72,4,5,5,455,Champions
26,5,2898.2599999999998,4,4,5,445,Champions
259,2,590.0,1,2,3,123,Lost
166,2,356.98,2,2,2,222,Lost
25,2,1058.34,4,2,4,424,Potential Loyalists
18,6,1766.72,4,5,4,454,Champions
7,14,9646.57,5,5,5,555,Champions
29,2,183.44,4,2,1,421,Potential Loyalists
39,3,1445.0,3,3,4,334,Need Attention
253,1,151.5,1,1,1,111,Lost
58,1,674.68,3,1,3,313,Need Attention
184,1,307.90000000000003,1,1,2,112,Lost
11,2,1071.91,5,2,4,524,Potential Loyalists
2,37,5704.97,5,5,5,555,Champions
99,2,165.0,2,2,1,221,Lost
1,4,2501.84,5,4,5,545,Champions
61,2,422.64,3,2,2,322,Need Attention
236,1,226.84,1,1,1,111,Lost
191,4,1431.78,1,4,4,144,Loyal Customers
179,2,1238.47,2,2,4,224,Lost
38,6,1454.58,3,5,4,354,Loyal Customers
201,2,300.95,1,2,2,122,Lost
46,5,1804.56,3,4,4,344,Loyal Customers
232,1,184.64000000000001,1,1,1,111,Lost
66,1,140.34,3,1,1,311,Need Attention
241,1,313.8,1,1,2,112,Lost
233,1,454.24,1,1,2,112,Lost
78,3,1122.41,2,3,4,234,At Risk
58,3,575.4,3,3,3,333,Need Attention
17,13,8968.31,4,5,5,455,Champions
105,4,449.52,2,4,2,242,Loyal Customers
52,10,1215.82,3,5,4,354,Loyal Customers
136,3,1269.84,2,3,4,234,At Risk
275,2,498.63,1,2,3,123,Lost
312,1,316.26000000000005,1,1,2,112,Lost
8,5,2044.8700000000001,5,4,5,545,Champions
11,2,653.33,5,2,3,523,Potential Loyalists
283,2,348.05,1,2,2,122,Lost
18,5,1159.1100000000001,4,4,4,444,Champions
23,3,1166.77,4,3,4,434,Need Attention
288,1,1340.32,1,1,4,114,Lost
17,3,292.0,4,3,2,432,Need Attention
71,1,216.85,3,1,1,311,Need Attention
64,1,295.93,3,1,2,312,Need Attention
73,4,3633.63,2,4,5,245,Loyal Customers
316,2,458.52,1,2,2,122,Lost
3,4,2479.16,5,4,5,545,Champions
244,1,110.97,1,1,1,111,Lost
9,6,964.72,5,5,4,554,Champions
1,4,1791.56,5,4,4,544,Champions
261,1,251.21,1,1,2,112,Lost
127,1,205.1,2,1,1,211,Lost
74,1,152.20000000000002,2,1,1,211,Lost
73,4,891.12,2,4,3,243,Loyal Customers
21,3,1389.41,4,3,4,434,Need Attention
60,3,2128.42,3,3,5,335,Need Attention
86,1,627.16,2,1,3,213,Lost
78,1,122.75,2,1,1,211,Lost
59,6,2984.35,3,5,5,355,Loyal Customers
1,3,1070.47,5,3,4,534,Need Attention
30,1,125.80000000000001,4,1,1,411,Potential Loyalists
33,5,3964.88,4,4,5,445,Champions
41,5,680.1800000000001,3,4,3,343,Loyal Customers
15,2,628.78,4,2,3,423,Potential Loyalists
34,7,2242.36,3,5,5,355,Loyal Customers
79,2,307.76,2,2,2,222,Lost
205,2,483.8,1,2,3,123,Lost
34,1,210.31,3,1,1,311,Need Attention
183,3,269.09,1,3,2,132,At Risk
2,25,5870.08,5,5,5,555,Champions
1,7,3444.39,5,5,5,555,Champions
43,7,1280.85,3,5,4,354,Loyal Customers
86,3,631.34,2,3,3,233,At Risk
40,2,276.06,3,2,2,322,Need Attention
12,3,621.09,5,3,3,533,Need Attention
96,2,678.16,2,2,3,223,Lost
26,7,918.2,4,5,3,453,Champions
319,1,91.80000000000001,1,1,1,111,Lost
66,12,3740.07,3,5,5,355,Loyal Customers
74,4,4098.88,2,4,5,245,Loyal Customers
28,2,584.0600000000001,4,2,3,423,Potential Loyalists
6,4,594.52,5,4,3,543,Champions
7,1,171.42000000000002,5,1,1,511,Potential Loyalists
216,1,141.85999999999999,1,1,1,111,Lost
82,3,1799.3300000000002,2,3,4,234,At Risk
84,2,777.53,2,2,3,223,Lost
354,2,1174.03,1,2,4,124,Lost
19,2,240.22,4,2,1,421,Potential Loyalists
41,2,856.84,3,2,3,323,Need Attention
173,1,187.05,2,1,1,211,Lost
17,2,337.12,4,2,2,422,Potential Loyalists
243,1,239.49,1,1,1,111,Lost
13,12,2088.94,5,5,5,555,Champions
206,1,1384.25,1,1,4,114,Lost
50,2,290.25,3,2,2,322,Need Attention
23,5,732.07,4,4,3,443,Champions
10,18,6717.34,5,5,5,555,Champions
25,4,1687.6000000000001,4,4,4,444,Champions
15,2,467.04,4,2,2,422,Potential Loyalists
309,1,118.0,1,1,1,111,Lost
156,1,781.03,2,1,3,213,Lost
307,1,142.4,1,1,1,111,Lost
64,1,712.4,3,1,3,313,Need Attention
16,9,2478.95,4,5,5,455,Champions
15,2,379.65,4,2,2,422,Potential Loyalists
11,6,1981.92,5,5,4,554,Champions
65,3,1117.13,3,3,4,334,Need Attention
36,4,247.95999999999998,3,4,2,342,Loyal Customers
108,5,2011.88,2,4,4,244,Loyal Customers
53,1,396.97,3,1,2,312,Need Attention
6,2,664.11,5,2,3,523,Potential Loyalists
47,1,160.04,3,1,1,311,Need Attention
1,21,5149.92,5,5,5,555,Champions
312,1,219.52,1,1,1,111,Lost
45,2,693.32,3,2,3,323,Need Attention
65,1,428.89,3,1,2,312,Need Attention
26,1,164.34,4,1,1,411,Potential Loyalists
29,3,276.75,4,3,2,432,Need Attention
40,1,675.51,3,1,3,313,Need Attention
12,7,1082.33,5,5,4,554,Champions
89,3,1154.4,2,3,4,234,At Risk
24,4,1585.46,4,4,4,444,Champions
319,1,417.69,1,1,2,112,Lost
40,3,544.18,3,3,3,333,Need Attention
174,1,177.34,2,1,1,211,Lost
117,1,213.85,2,1,1,211,Lost
31,5,727.74,4,4,3,443,Champions
253,1,257.23,1,1,2,112,Lost
59,5,1638.47,3,4,4,344,Loyal Customers
23,11,7792.36,4,5,5,455,Champions
5,7,2031.78,5,5,5,555,Champions
100,11,3070.42,2,5,5,255,Loyal Customers
25,5,2118.93,4,4,5,445,Champions
33,5,1547.3600000000001,4,4,4,444,Champions
68,1,1071.03,3,1,4,314,Need Attention
37,5,949.12,3,4,4,344,Loyal Customers
52,3,803.05,3,3,3,333,Need Attention
16,1,122.64,4,1,1,411,Potential Loyalists
74,1,1033.34,2,1,4,214,Lost
216,1,312.28,1,1,2,112,Lost
31,3,519.44,4,3,3,433,Need Attention
16,4,2624.26,4,4,5,445,Champions
120,1,252.1,2,1,2,212,Lost
10,4,1648.1200000000001,5,4,4,544,Champions
257,2,346.6,1,2,2,122,Lost
17,6,1836.3400000000001,4,5,4,454,Champions
40,1,79.2,3,1,1,311,Need Attention
46,3,1095.08,3,3,4,334,Need Attention
43,6,2707.33,3,5,5,355,Loyal Customers
114,2,932.97,2,2,4,224,Lost
165,2,379.65,2,2,2,222,Lost
11,2,382.14,5,2,2,522,Potential Loyalists
10,5,2639.17,5,4,5,545,Champions
206,2,1563.0,1,2,4,124,Lost
86,3,881.26,2,3,3,233,At Risk
179,1,189.47,2,1,1,211,Lost
60,3,84.65,3,3,1,331,Need Attention
149,1,299.05,2,1,2,212,Lost
3,21,6309.83,5,5,5,555,Champions
51,2,218.55,3,2,1,321,Need Attention
75,1,349.7,2,1,2,212,Lost
301,2,186.39000000000001,1,2,1,121,Lost
19,2,387.44,4,2,2,422,Potential Loyalists
151,2,486.82000000000005,2,2,3,223,Lost
152,1,232.6,2,1,1,211,Lost
1,4,3719.12,5,4,5,545,Champions
18,4,827.83,4,4,3,443,Champions
187,1,59.5,1,1,1,111,Lost
286,1,65.13,1,1,1,111,Lost
3,7,3119.44,5,5,5,555,Champions
183,1,72.0,1,1,1,111,Lost
63,1,910.0,3,1,3,313,Need Attention
59,1,172.25,3,1,1,311,Need Attention
25,3,1488.32,4,3,4,434,Need Attention
4,50,65039.62,5,5,5,555,Champions
31,15,2504.13,4,5,5,455,Champions
39,1,151.3,3,1,1,311,Need Attention
155,1,308.58000000000004,2,1,2,212,Lost
26,10,2248.63,4,5,5,455,Champions
318,1,99.5,1,1,1,111,Lost
5,9,2308.06,5,5,5,555,Champions
8,3,711.86,5,3,3,533,Need Attention
303,1,330.79,1,1,2,112,Lost
267,2,806.41,1,2,3,123,Lost
271,1,283.33,1,1,2,112,Lost
4,13,6307.650000000001,5,5,5,555,Champions
32,1,180.48,4,1,1,411,Potential Loyalists
219,2,252.06,1,2,2,122,Lost
247,1,228.84,1,1,1,111,Lost
281,5,1077.39,1,4,4,144,Loyal Customers
269,1,138.28,1,1,1,111,Lost
32,6,1445.01,4,5,4,454,Champions
246,2,306.55,1,2,2,122,Lost
15,5,1041.68,4,4,4,444,Champions
117,4,799.9,2,4,3,243,Loyal Customers
36,1,524.14,3,1,3,313,Need Attention
132,3,2375.41,2,3,5,235,At Risk
217,1,199.85000000000002,1,1,1,111,Lost
50,8,1980.56,3,5,4,354,Loyal Customers
39,2,1079.66,3,2,4,324,Need Attention
29,2,333.48,4,2,2,422,Potential Loyalists
37,6,1016.14,3,5,4,354,Loyal Customers
136,2,752.6,2,2,3,223,Lost
219,2,610.59,1,2,3,123,Lost
28,1,491.86,4,1,3,413,Potential Loyalists
25,4,2883.54,4,4,5,445,Champions
5,2,729.8,5,2,3,523,Potential Loyalists
200,1,339.6,1,1,2,112,Lost
18,1,216.9,4,1,1,411,Potential Loyalists
241,1,350.75,1,1,2,112,Lost
72,3,668.4300000000001,3,3,3,333,Need Attention
17,12,3107.87,4,5,5,455,Champions
3,7,1341.6,5,5,4,554,Champions
95,2,1080.52,2,2,4,224,Lost
162,1,300.04,2,1,2,212,Lost
374,1,79.6,1,1,1,111,Lost
96,5,948.25,2,4,4,244,Loyal Customers
54,5,1647.26,3,4,4,344,Loyal Customers
288,1,296.25,1,1,2,112,Lost
124,6,1175.38,2,5,4,254,Loyal Customers
288,1,741.26,1,1,3,113,Lost
152,2,282.6,2,2,2,222,Lost
4,9,2108.06,5,5,5,555,Champions
2,14,5189.52,5,5,5,555,Champions
12,7,3190.55,5,5,5,555,Champions
33,2,659.4100000000001,4,2,3,423,Potential Loyalists
54,2,286.79,3,2,2,322,Need Attention
50,2,1070.65,3,2,4,324,Need Attention
219,1,306.72,1,1,2,112,Lost
63,1,1714.96,3,1,4,314,Need Attention
71,3,1516.42,3,3,4,334,Need Attention
2,37,17220.36,5,5,5,555,Champions
2,10,2796.51,5,5,5,555,Champions
64,4,2634.45,3,4,5,345,Loyal Customers
34,3,1122.63,3,3,4,334,Need Attention
82,1,345.0,2,1,2,212,Lost
1,33,25977.16,5,5,5,555,Champions
103,1,178.7,2,1,1,211,Lost
7,2,360.01,5,2,2,522,Potential Loyalists
251,1,127.84,1,1,1,111,Lost
13,6,908.86,5,5,3,553,Champions
10,11,2462.79,5,5,5,555,Champions
367,1,230.4,1,1,1,111,Lost
76,2,309.04,2,2,2,222,Lost
4,1,348.79999999999995,5,1,2,512,Potential Loyalists
128,2,1516.0,2,2,4,224,Lost
66,2,195.55,3,2,1,321,Need Attention
1,57,37153.85,5,5,5,555,Champions
117,2,688.86,2,2,3,223,Lost
310,1,558.32,1,1,3,113,Lost
67,1,324.8,3,1,2,312,Need Attention
139,3,4599.42,2,3,5,235,At Risk
255,1,277.07,1,1,2,112,Lost
31,7,2588.39,4,5,5,455,Champions
52,2,924.5999999999999,3,2,4,324,Need Attention
64,1,256.38,3,1,2,312,Need Attention
367,1,112.6,1,1,1,111,Lost
6,5,1747.66,5,4,4,544,Champions
305,1,155.05,1,1,1,111,Lost
29,2,827.51,4,2,3,423,Potential Loyalists
184,2,519.75,1,2,3,123,Lost
42,3,485.0,3,3,3,333,Need Attention
40,4,1168.8600000000001,3,4,4,344,Loyal Customers
92,2,1579.12,2,2,4,224,Lost
22,4,3667.36,4,4,5,445,Champions
24,2,499.67,4,2,3,423,Potential Loyalists
29,2,328.98,4,2,2,422,Potential Loyalists
302,3,1140.35,1,3,4,134,At Risk
145,2,385.64,2,2,2,222,Lost
6,2,632.0,5,2,3,523,Potential Loyalists
19,2,957.66,4,2,4,424,Potential Loyalists
33,5,1698.94,4,4,4,444,Champions
176,1,189.5,2,1,1,211,Lost
58,3,409.8,3,3,2,332,Need Attention
22,1,209.49,4,1,1,411,Potential Loyalists
16,6,2198.45,4,5,5,455,Champions
19,1,52.2,4,1,1,411,Potential Loyalists
159,1,383.85,2,1,2,212,Lost
25,4,834.57,4,4,3,443,Champions
212,2,266.59000000000003,1,2,2,122,Lost
6,4,674.82,5,4,3,543,Champions
253,1,85.0,1,1,1,111,Lost
59,9,3385.62,3,5,5,355,Loyal Customers
11,1,361.62,5,1,2,512,Potential Loyalists
65,1,312.98,3,1,2,312,Need Attention
25,3,865.0600000000001,4,3,3,433,Need Attention
92,3,1255.0,2,3,4,234,At Risk
52,2,1537.95,3,2,4,324,Need Attention
129,1,1595.48,2,1,4,214,Lost
96,3,2651.46,2,3,5,235,At Risk
57,1,1090.1399999999999,3,1,4,314,Need Attention
9,25,8109.5199999999995,5,5,5,555,Champions
169,3,388.5,2,3,2,232,At Risk
57,1,216.17000000000002,3,1,1,311,Need Attention
326,1,201.16,1,1,1,111,Lost
1,5,1245.9,5,4,4,544,Champions
18,8,2209.36,4,5,5,455,Champions
248,1,305.78,1,1,2,112,Lost
58,4,501.56,3,4,3,343,Loyal Customers
74,1,145.67,2,1,1,211,Lost
31,3,1005.09,4,3,4,434,Need Attention
7,2,3192.54,5,2,5,525,Potential Loyalists
123,4,3083.65,2,4,5,245,Loyal Customers
2,8,2770.94,5,5,5,555,Champions
23,13,6403.25,4,5,5,455,Champions
120,3,389.6,2,3,2,232,At Risk
358,1,540.45,1,1,3,113,Lost
54,5,1786.79,3,4,4,344,Loyal Customers
64,1,122.7,3,1,1,311,Need Attention
86,1,117.24,2,1,1,211,Lost
55,1,1271.57,3,1,4,314,Need Attention
21,13,3219.77,4,5,5,455,Champions
4,20,17159.52,5,5,5,555,Champions
3,5,1191.13,5,4,4,544,Champions
11,5,2674.48,5,4,5,545,Champions
7,5,787.6,5,4,3,543,Champions
189,2,506.8,1,2,3,123,Lost
71,1,243.56,3,1,1,311,Need Attention
204,1,349.55,1,1,2,112,Lost
120,2,595.67,2,2,3,223,Lost
93,1,416.90000000000003,2,1,2,212,Lost
1,10,1883.81,5,5,4,554,Champions
27,4,632.97,4,4,3,443,Champions
298,1,821.1,1,1,3,113,Lost
24,3,564.62,4,3,3,433,Need Attention
28,4,2593.07,4,4,5,445,Champions
50,1,311.16,3,1,2,312,Need Attention
326,1,155.93,1,1,1,111,Lost
16,2,388.52,4,3,2,432,Need Attention
183,3,740.95,1,3,3,133,At Risk
72,5,2867.2000000000003,3,4,5,345,Loyal Customers
37,2,332.64,3,3,2,332,Need Attention
80,4,2319.55,2,4,5,245,Loyal Customers
57,9,2580.91,3,5,5,355,Loyal Customers
12,2,626.45,5,3,3,533,Need Attention
50,2,272.04,3,3,2,332,Need Attention
50,2,1212.8400000000001,3,3,4,334,Need Attention
59,2,348.81,3,3,2,332,Need Attention
352,1,172.25,1,1,1,111,Lost
54,1,351.13,3,1,2,312,Need Attention
2,6,1838.8500000000001,5,5,4,554,Champions
93,4,678.25,2,4,3,243,Loyal Customers
23,1,223.85000000000002,4,1,1,411,Potential Loyalists
75,1,348.99,2,1,2,212,Lost
11,4,464.57,5,4,2,542,Champions
169,2,842.65,2,3,3,233,At Risk
58,2,337.34,3,3,2,332,Need Attention
96,2,1237.53,2,3,4,234,At Risk
295,1,307.4,1,1,2,112,Lost
109,2,608.79,2,3,3,233,At Risk
264,1,922.1,1,1,3,113,Lost
180,1,376.58,1,1,2,112,Lost
169,1,158.85,2,1,1,211,Lost
35,1,71.66,3,1,1,311,Need Attention
23,3,568.55,4,3,3,433,Need Attention
17,4,839.14,4,4,3,443,Champions
22,5,5112.96,4,4,5,445,Champions
79,3,561.57,2,3,3,233,At Risk
65,1,90.60000000000001,3,1,1,311,Need Attention
361,1,102.0,1,1,1,111,Lost
3,6,2427.32,5,5,5,555,Champions
11,4,745.0600000000001,5,4,3,543,Champions
176,3,674.45,2,3,3,233,At Risk
218,2,3251.07,1,3,5,135,At Risk
7,7,3515.68,5,5,5,555,Champions
2,2,439.92,5,3,2,532,Need Attention
154,2,322.96,2,3,2,232,At Risk
5,5,1019.27,5,4,4,544,Champions
79,3,594.04,2,3,3,233,At Risk
21,2,230.22,4,3,1,431,Need Attention
22,2,169.54999999999998,4,3,1,431,Need Attention
308,4,664.54,1,4,3,143,Loyal Customers
146,1,80.7,2,1,1,211,Lost
7,18,9024.17,5,5,5,555,Champions
19,8,2758.26,4,5,5,455,Champions
71,2,190.25,3,3,1,331,Need Attention
287,1,264.7,1,1,2,112,Lost
49,1,413.59000000000003,3,1,2,312,Need Attention
31,6,2461.2400000000002,4,5,5,455,Champions
207,1,357.98,1,1,2,112,Lost
15,2,196.79,4,3,1,431,Need Attention
73,1,869.87,2,1,3,213,Lost
60,1,200.14,3,1,1,311,Need Attention
39,4,1871.81,3,4,4,344,Loyal Customers
30,12,2603.43,4,5,5,455,Champions
27,5,920.51,4,4,3,443,Champions
4,15,7060.13,5,5,5,555,Champions
17,1,320.46,4,1,2,412,Potential Loyalists
20,6,4147.96,4,5,5,455,Champions
66,2,1266.08,3,3,4,334,Need Attention
213,1,311.3,1,1,2,112,Lost
12,6,851.88,5,5,3,553,Champions
30,1,76.8,4,1,1,411,Potential Loyalists
43,9,3466.36,3,5,5,355,Loyal Customers
4,6,2274.14,5,5,5,555,Champions
15,5,1393.69,4,4,4,444,Champions
10,12,3901.81,5,5,5,555,Champions
211,1,635.66,1,1,3,113,Lost
46,3,2043.0800000000002,3,3,5,335,Need Attention
134,2,529.73,2,3,3,233,At Risk
43,7,4582.64,3,5,5,355,Loyal Customers
10,5,2874.72,5,4,5,545,Champions
116,3,962.19,2,3,4,234,At Risk
198,2,695.61,1,3,3,133,At Risk
278,1,328.8,1,1,2,112,Lost
110,3,473.02,2,3,2,232,At Risk
77,1,505.18,2,1,3,213,Lost
53,1,917.34,3,1,3,313,Need Attention
162,4,4291.21,2,4,5,245,Loyal Customers
47,3,1421.6100000000001,3,3,4,334,Need Attention
17,2,642.8,4,3,3,433,Need Attention
155,3,631.9,2,3,3,233,At Risk
225,1,440.0,1,1,2,112,Lost
7,2,584.07,5,3,3,533,Need Attention
122,2,327.7,2,3,2,232,At Risk
61,1,104.82,3,1,1,311,Need Attention
63,2,467.66,3,3,2,332,Need Attention
18,8,2358.84,4,5,5,455,Champions
7,19,17286.86,5,5,5,555,Champions
2,11,2975.59,5,5,5,555,Champions
22,3,648.89,4,3,3,433,Need Attention
29,5,1428.02,4,4,4,444,Champions
285,1,626.65,1,1,3,113,Lost
176,2,147.20000000000002,2,3,1,231,At Risk
78,3,1560.38,2,3,4,234,At Risk
33,1,152.2,4,1,1,411,Potential Loyalists
41,12,3560.32,3,5,5,355,Loyal Customers
266,1,141.41,1,1,1,111,Lost
27,4,646.42,4,4,3,443,Champions
109,4,1659.75,2,4,4,244,Loyal Customers
284,1,151.59,1,1,1,111,Lost
